time,co2
2022-09-10T00:04:51,1046
2022-09-10T00:09:51,1044
2022-09-10T00:14:51,1038
2022-09-10T00:19:52,1047
2022-09-10T00:24:52,1047
2022-09-10T00:29:52,1045
2022-09-10T00:34:52,1040
2022-09-10T00:39:53,1039
2022-09-10T00:44:53,1034
2022-09-10T00:49:54,1036
2022-09-10T00:54:54,1031
2022-09-10T00:59:54,1021
2022-09-10T01:04:55,1014
2022-09-10T01:09:55,1013
2022-09-10T01:14:55,1006
2022-09-10T01:19:55,1012
2022-09-10T01:24:56,1009
2022-09-10T01:29:56,1002
2022-09-10T01:34:56,1002
2022-09-10T01:39:56,998
2022-09-10T01:44:57,998
2022-09-10T01:49:57,1002
2022-09-10T01:54:57,999
2022-09-10T01:59:58,994
2022-09-10T02:04:58,992
2022-09-10T02:09:58,991
2022-09-10T02:14:58,988
2022-09-10T02:19:59,992
2022-09-10T02:24:59,983
2022-09-10T02:29:59,986
2022-09-10T02:35:00,980
2022-09-10T02:40:00,976
2022-09-10T02:45:00,979
2022-09-10T02:50:00,976
2022-09-10T02:55:01,973
2022-09-10T03:00:01,967
2022-09-10T03:05:01,963
2022-09-10T03:10:02,966
2022-09-10T03:15:02,962
2022-09-10T03:20:02,964
2022-09-10T03:25:03,960
2022-09-10T03:30:03,955
2022-09-10T03:35:03,958
2022-09-10T03:40:03,957
2022-09-10T03:45:04,958
2022-09-10T03:50:04,955
2022-09-10T03:55:04,959
2022-09-10T04:00:05,958
2022-09-10T04:05:05,958
2022-09-10T04:10:05,958
2022-09-10T04:15:05,955
2022-09-10T04:20:06,959
2022-09-10T04:25:06,950
2022-09-10T04:30:06,954
2022-09-10T04:35:07,952
2022-09-10T04:40:07,952
2022-09-10T04:45:07,947
2022-09-10T04:50:08,943
2022-09-10T04:55:08,944
2022-09-10T05:00:08,936
2022-09-10T05:05:08,964
2022-09-10T05:10:09,962
2022-09-10T05:15:09,968
2022-09-10T05:20:09,966
2022-09-10T05:25:10,963
2022-09-10T05:30:10,968
2022-09-10T05:35:10,956
2022-09-10T05:40:11,955
2022-09-10T05:45:11,955
2022-09-10T05:50:12,961
2022-09-10T05:55:12,958
2022-09-10T06:00:12,954
2022-09-10T06:05:12,983
2022-09-10T06:10:13,980
2022-09-10T06:15:13,976
2022-09-10T06:20:13,979
2022-09-10T06:25:14,982
2022-09-10T06:30:14,983
2022-09-10T06:35:14,976
2022-09-10T06:40:14,972
2022-09-10T06:45:15,985
2022-09-10T06:50:15,972
2022-09-10T06:55:15,964
2022-09-10T07:00:16,955
2022-09-10T07:05:16,1321
2022-09-10T07:10:16,1312
2022-09-10T07:15:16,1170
2022-09-10T07:20:17,1139
2022-09-10T07:25:17,1097
2022-09-10T07:30:17,1156
2022-09-10T07:35:18,1079
2022-09-10T07:40:18,1068
2022-09-10T07:45:18,1048
2022-09-10T07:50:18,1041
2022-09-10T07:55:19,1156
2022-09-10T08:00:19,1064
2022-09-10T08:05:19,1050
2022-09-10T08:10:20,1049
2022-09-10T08:15:20,1065
2022-09-10T08:20:20,1071
2022-09-10T08:25:20,1073
2022-09-10T08:30:21,1070
2022-09-10T08:35:21,1072
2022-09-10T08:40:21,1060
2022-09-10T08:45:22,1050
2022-09-10T08:50:22,1044
2022-09-10T08:55:22,1049
2022-09-10T09:00:22,1064
2022-09-10T09:05:23,1063
2022-09-10T09:10:23,1056
2022-09-10T09:15:23,1068
2022-09-10T09:20:24,1061
2022-09-10T09:25:24,1061
2022-09-10T09:30:24,1063
2022-09-10T09:35:25,1070
2022-09-10T09:40:25,1093
2022-09-10T09:45:25,1066
2022-09-10T09:50:25,1045
2022-09-10T09:55:26,1012
2022-09-10T10:00:26,982
2022-09-10T10:05:26,952
2022-09-10T10:10:27,947
2022-09-10T10:15:27,918
2022-09-10T10:20:27,889
2022-09-10T10:25:28,1190
2022-09-10T10:30:28,882
2022-09-10T10:35:28,863
2022-09-10T10:40:29,883
2022-09-10T10:45:29,943
2022-09-10T10:50:29,1087
2022-09-10T10:55:30,876
2022-09-10T11:00:30,832
2022-09-10T11:05:30,799
2022-09-10T11:10:31,796
2022-09-10T11:15:31,767
2022-09-10T11:20:31,875
2022-09-10T11:25:32,793
2022-09-10T11:30:32,772
2022-09-10T11:35:32,743
2022-09-10T11:40:33,721
2022-09-10T11:45:33,698
2022-09-10T11:50:33,696
2022-09-10T11:55:33,691
2022-09-10T12:00:34,681
2022-09-10T12:05:34,687
2022-09-10T12:10:34,695
2022-09-10T12:15:35,694
2022-09-10T12:20:35,682
2022-09-10T12:25:35,675
2022-09-10T12:30:36,677
2022-09-10T12:35:36,674
2022-09-10T12:40:36,650
2022-09-10T12:45:37,652
2022-09-10T12:50:37,667
2022-09-10T12:55:37,662
2022-09-10T13:00:38,663
2022-09-10T13:05:38,660
2022-09-10T13:10:38,644
2022-09-10T13:15:38,642
2022-09-10T13:20:39,671
2022-09-10T13:25:39,725
2022-09-10T13:30:39,693
2022-09-10T13:35:40,632
2022-09-10T13:40:40,623
2022-09-10T13:45:40,628
2022-09-10T13:50:41,625
2022-09-10T13:55:41,622
2022-09-10T14:00:41,636
2022-09-10T14:05:42,608
2022-09-10T14:10:42,615
2022-09-10T14:15:42,625
2022-09-10T14:20:43,611
2022-09-10T14:25:43,611
2022-09-10T14:30:43,581
2022-09-10T14:35:44,570
2022-09-10T14:40:44,586
2022-09-10T14:45:44,568
2022-09-10T14:50:45,534
2022-09-10T14:55:45,540
2022-09-10T15:00:45,531
2022-09-10T15:05:46,545
2022-09-10T15:10:46,567
2022-09-10T15:15:46,571
2022-09-10T15:20:47,551
2022-09-10T15:25:47,561
2022-09-10T15:30:47,553
2022-09-10T15:35:48,522
2022-09-10T15:40:48,528
2022-09-10T15:45:48,527
2022-09-10T15:50:49,518
2022-09-10T15:55:49,529
2022-09-10T16:00:50,524
2022-09-10T16:05:50,530
2022-09-10T16:10:50,553
2022-09-10T16:15:51,529
2022-09-10T16:20:51,568
2022-09-10T16:25:51,563
2022-09-10T16:30:52,570
2022-09-10T16:35:52,566
2022-09-10T16:40:52,573
2022-09-10T16:45:53,596
2022-09-10T16:50:53,657
2022-09-10T16:55:53,614
2022-09-10T17:00:54,589
2022-09-10T17:05:54,586
2022-09-10T17:10:54,581
2022-09-10T17:15:55,575
2022-09-10T17:20:55,557
2022-09-10T17:25:55,555
2022-09-10T17:30:56,554
2022-09-10T17:35:56,567
2022-09-10T17:40:56,610
2022-09-10T17:45:57,599
2022-09-10T17:50:57,596
2022-09-10T17:55:57,633
2022-09-10T18:00:58,614
2022-09-10T18:05:58,600
2022-09-10T18:10:58,665
2022-09-10T18:15:59,631
2022-09-10T18:20:59,631
2022-09-10T18:25:59,606
2022-09-10T18:31:00,597
2022-09-10T18:36:00,585
2022-09-10T18:41:00,574
2022-09-10T18:46:01,595
2022-09-10T18:51:01,623
2022-09-10T18:56:01,651
2022-09-10T19:01:02,663
2022-09-10T19:06:02,672
2022-09-10T19:11:03,676
2022-09-10T19:16:03,663
2022-09-10T19:21:03,665
2022-09-10T19:26:04,658
2022-09-10T19:31:04,629
2022-09-10T19:36:04,614
2022-09-10T19:41:05,575
2022-09-10T19:46:05,638
2022-09-10T19:51:05,638
2022-09-10T19:56:06,617
2022-09-10T20:01:06,623
2022-09-10T20:06:06,625
2022-09-10T20:11:07,592
2022-09-10T20:16:07,613
2022-09-10T20:21:08,613
2022-09-10T20:26:08,611
2022-09-10T20:31:08,619
2022-09-10T20:36:09,610
2022-09-10T20:41:09,759
2022-09-10T20:46:09,866
2022-09-10T20:51:10,826
2022-09-10T20:56:10,771
2022-09-10T21:01:10,741
2022-09-10T21:06:11,760
2022-09-10T21:11:12,760
2022-09-10T21:16:12,1100
2022-09-10T21:21:12,808
2022-09-10T21:26:13,793
2022-09-10T21:31:13,773
2022-09-10T21:36:13,705
2022-09-10T21:41:14,760
2022-09-10T21:46:14,754
2022-09-10T21:51:14,788
2022-09-10T21:56:15,760
2022-09-10T22:01:15,743
2022-09-10T22:06:16,794
2022-09-10T22:11:16,742
2022-09-10T22:16:16,804
2022-09-10T22:21:17,685
2022-09-10T22:26:17,715
2022-09-10T22:31:17,722
2022-09-10T22:36:18,799
2022-09-10T22:41:18,688
2022-09-10T22:46:18,682
2022-09-10T22:51:19,682
2022-09-10T22:56:19,676
2022-09-10T23:01:20,667
2022-09-10T23:06:20,651
2022-09-10T23:11:20,647
2022-09-10T23:16:21,641
2022-09-10T23:21:21,632
2022-09-10T23:26:21,644
2022-09-10T23:31:22,659
2022-09-10T23:36:22,674
2022-09-10T23:41:23,660
2022-09-10T23:46:23,650
2022-09-10T23:51:23,648
2022-09-10T23:56:24,652